ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2014-0016,"stunnel before 5.00, when using fork threading, does not properly update the state of the OpenSSL pseudo-random number generator (PRNG), which causes subsequent children with the same process ID to use the same entropy pool and allows remote attackers to obtain private keys for EC (ECDSA) or DSA certificates.",stunnel,before 5.00,,"using fork threading, does not properly update the state of the OpenSSL pseudo-random number generator (PRNG)",,subsequent children with the same process ID |n remote attackers,,obtain private keys for EC (ECDSA) or DSA certificates
CVE-2014-7816,"Directory traversal vulnerability in JBoss Undertow 1.0.x before 1.0.17, 1.1.x before 1.1.0.CR5, and 1.2.x before 1.2.0.Beta3, when running on Windows, allows remote attackers to read arbitrary files via a .. (dot dot) in a resource URI.",JBoss Undertow,"1.0.x before 1.0.17 |n 1.1.x before 1.1.0.CR5 |n 1.2.x before 1.2.0.Beta3,",Directory traversal,running on Windows,,remote attackers,a .. (dot dot) in a resource URI,read arbitrary files
CVE-2014-4603,"Multiple cross-site scripting (XSS) vulnerabilities in yupdates_application.php in the Yahoo! Updates for WordPress plugin 1.0 and earlier for WordPress allow remote attackers to inject arbitrary web script or HTML via the (1) secret, (2) key, or (3) appid parameter.",Yahoo! Updates for WordPress plugin,1.0 and earlier for WordPress,Multiple cross-site scripting (XSS) vulnerabilities,,yupdates_application.php,remote attackers,secret |n key |n appid parameter,inject arbitrary web script or HTML
CVE-2014-5706,"The SomNote - Journal/Memo (aka com.somcloud.somnote) application 2.1.5 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",SomNote - Journal/Memo |n com.somcloud.somnote |n Android,2.1.5,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-4111,"Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-2799, CVE-2014-4059, CVE-2014-4065, CVE-2014-4079, CVE-2014-4081, CVE-2014-4083, CVE-2014-4085, CVE-2014-4088, CVE-2014-4090, CVE-2014-4094, CVE-2014-4097, CVE-2014-4100, CVE-2014-4103, CVE-2014-4104, CVE-2014-4105, CVE-2014-4106, CVE-2014-4107, CVE-2014-4108, CVE-2014-4109, and CVE-2014-4110.",Microsoft Internet Explorer,6 through 11,Internet Explorer Memory Corruption Vulnerability,,,remote attackers,a crafted web site,execute arbitrary code£¬a denial of service (memory corruption)
CVE-2014-3492,Multiple cross-site scripting (XSS) vulnerabilities in the host YAML view in Foreman before 1.4.5 and 1.5.x before 1.5.1 allow remote attackers to inject arbitrary web script or HTML via a parameter (1) name or (2) value related to the host.,Foreman,before 1.4.5 and 1.5.x before 1.5.1,Multiple cross-site scripting (XSS) vulnerabilities,,host YAML view,remote attackers,a parameter name or value related to the host,inject arbitrary web script or HTML
CVE-2014-3514,activerecord/lib/active_record/relation/query_methods.rb in Active Record in Ruby on Rails 4.0.x before 4.0.9 and 4.1.x before 4.1.5 allows remote attackers to bypass the strong parameters protection mechanism via crafted input to an application that makes create_with calls.,Rails,4.0.x before 4.0.9 |n 4.1.x before 4.1.5,,,activerecord/lib/active_record/relation/query_methods.rb in Active Record in Ruby ,remote attackers,crafted input to an application that makes create_with calls,bypass the strong parameters protection mechanism
CVE-2014-4258,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.37 and earlier and 5.6.17 and earlier allows remote authenticated users to affect confidentiality, integrity, and availability via vectors related to SRINFOSC.",Oracle MySQL,5.5.37 and earlier |n 5.6.17 and earlier ,,,MySQL Server component,remote authenticated user,vectors related to SRINFOSC,"affect confidentiality, integrity, and availability"
CVE-2014-7045,"The Bust Out Bail (aka com.onesolutionapps.bustoutbailandroid) application 1.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Bust Out Bail |n com.onesolutionapps.bustoutbailandroid |n Android,1.1,,does not verify X.509 certificates,SSL servers,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-8611,"The __sflush function in fflush.c in stdio in libc in FreeBSD 10.1 and the kernel in Apple iOS before 9 mishandles failures of the write system call, which allows context-dependent attackers to execute arbitrary code or cause a denial of service (heap-based buffer overflow) via a crafted application.",FreeBSD |n Apple iOS,10.1 |n before 9,,mishandles failures of the write system call,__sflush function in fflush.c in stdio in libc |n kernel,context-dependent attackers,a crafted application,execute arbitrary code or cause a denial of service (heap-based buffer overflow)
CVE-2014-4737,Cross-site scripting (XSS) vulnerability in Textpattern CMS before 4.5.7 allows remote attackers to inject arbitrary web script or HTML via the PATH_INFO to setup/index.php.,Textpattern CMS,before 4.5.7,Cross-site scripting (XSS) vulnerability,,,remote attackers,the PATH_INFO to setup/index.php,inject arbitrary web script or HTML
CVE-2014-8087,Cross-site scripting (XSS) vulnerability in the post highlights plugin before 2.6.1 for WordPress allows remote attackers to inject arbitrary web script or HTML via the txt parameter in a headline action to ajax/ph_save.php.,post highlights plugin,before 2.6.1 for WordPress,Cross-site scripting (XSS) vulnerability,,,remote attackers,the txt parameter in a headline action to ajax/ph_save.php,inject arbitrary web script or HTML
CVE-2014-7243,"LG Electronics Mobile WiFi router L-09C, L-03E, and L-04D does not restrict access to the web administration interface, which allows remote attackers to obtain sensitive information via unspecified vectors.",LG Electronics Mobile WiFi router,L-09C |n L-03E |n L-04D,,does not restrict access to the web administration interface,,remote attackers,,obtain sensitive information
CVE-2014-5600,"The familyconnect (aka com.comcast.plaxo.familyconnect.app) application 1.5.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",familyconnect |n com.comcast.plaxo.familyconnect.app |n Android,1.5.0,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-10013,SQL injection vulnerability in the Another WordPress Classifieds Plugin plugin for WordPress allows remote attackers to execute arbitrary SQL commands via the keywordphrase parameter in a dosearch action.,Another WordPress Classifieds Plugin plugin for WordPress,,SQL injection vulnerability,,,remote attackers,keywordphrase parameter in a dosearch action,execute arbitrary SQL commands
CVE-2014-6842,"The Daily Advertiser Print (aka com.lafayettedailyadv.android.prod) application 6.7 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Daily Advertiser Print |n com.lafayettedailyadv.android.prod |n Android,6.7,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate, spoof servers and obtain sensitive information
CVE-2014-4124,"Microsoft Internet Explorer 7 through 11 allows remote attackers to gain privileges via a crafted web site, aka ""Internet Explorer Elevation of Privilege Vulnerability,"" a different vulnerability than CVE-2014-4123.",Microsoft Internet Explorer,7 through 11,Internet Explorer Elevation of Privilege Vulnerability,,,remote attackers,a crafted web site,gain privileges 
CVE-2014-8004,"Cisco IOS XR allows remote attackers to cause a denial of service (LISP process reload) by establishing many LISP TCP sessions, aka Bug ID CSCuq90378.",Cisco IOS XR,,,,,remote attackers,establishing many LISP TCP sessions,cause a denial of service (LISP process reload)
CVE-2014-9034,"wp-includes/class-phpass.php in WordPress before 3.7.5, 3.8.x before 3.8.5, 3.9.x before 3.9.3, and 4.x before 4.0.1 allows remote attackers to cause a denial of service (CPU consumption) via a long password that is improperly handled during hashing, a similar issue to CVE-2014-9016.",WordPress,before 3.7.5 |n 3.8.x before 3.8.5 |n 3.9.x before 3.9.3 |n 4.x before 4.0.1,,,wp-includes/class-phpass.php,remote attackers,a long password that is improperly handled during hashing,cause a denial of service (CPU consumption) 
CVE-2014-8322,Stack-based buffer overflow in the tcp_test function in aireplay-ng.c in Aircrack-ng before 1.2 RC 1 allows remote attackers to execute arbitrary code via a crafted length parameter value.,Aircrack-ng ,before 1.2 RC 1,Stack-based buffer overflow,,tcp_test function in aireplay-ng.c,remote attackers,a crafted length parameter value,execute arbitrary code
CVE-2014-2875,"The session.lua library in CGILua 5.2 alpha 1 and 5.2 alpha 2 uses weak session IDs generated based on OS time, which allows remote attackers to hijack arbitrary sessions via a brute force attack. NOTE: CVE-2014-10399 and CVE-2014-10400 were SPLIT from this ID.",CGILua,5.2 alpha 1 |n 5.2 alpha 2,,uses weak session IDs generated based on OS time,session.lua library,remote attackers,a brute force attack,hijack arbitrary sessions
CVE-2014-2668,Apache CouchDB 1.5.0 and earlier allows remote attackers to cause a denial of service (CPU and memory consumption) via the count parameter to /_uuids.,Apache CouchDB,1.5.0 and earlier,,,,remote attackers,count parameter to /_uuids,cause a denial of service (CPU and memory consumption) 
CVE-2014-2044,"Incomplete blacklist vulnerability in ajax/upload.php in ownCloud before 5.0, when running on Windows, allows remote authenticated users to bypass intended access restrictions, upload files with arbitrary names, and execute arbitrary code via an Alternate Data Stream (ADS) syntax in the filename parameter, as demonstrated using .htaccess::$DATA to upload a PHP program.",ownCloud,before 5.0,Incomplete blacklist vulnerability,running on Windows,ajax/upload.php,remote authenticated users,an Alternate Data Stream (ADS) syntax in the filename parameter,"bypass intended access restrictions, upload files with arbitrary names, and execute arbitrary code"
CVE-2014-7050,"The givenu give (aka com.givenu.give) application 1.5.3 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",givenu give |n com.givenu.give |n Android,1.5.3,,does not verify X.509 certificates,SSL servers,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-6136,"IBM Security AppScan Standard 8.x and 9.x before 9.0.1.1 FP1 supports unencrypted sessions, which allows remote attackers to obtain sensitive information by sniffing the network.",IBM Security AppScan Standard,8.x |n 9.x before 9.0.1.1 FP1,,supports unencrypted sessions,,remote attackers,sniffing the network,obtain sensitive information
CVE-2014-3434,"Buffer overflow in the sysplant driver in Symantec Endpoint Protection (SEP) Client 11.x and 12.x before 12.1 RU4 MP1b, and Small Business Edition before SEP 12.1, allows local users to execute arbitrary code via a long argument to a 0x00222084 IOCTL call.",Symantec Endpoint Protection (SEP) Client |n Small Business Edition,11.x |n 12.x before 12.1 RU4 MP1b |n before SEP 12.1,Buffer overflow,,sysplant driver,local users,a long argument to a 0x00222084 IOCTL call,execute arbitrary code
CVE-2014-7750,"The Taster Magazine (aka com.magazinecloner.taster) application @7F080183 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Taster Magazine |n com.magazinecloner.taster |n Android,@7F080183,,does not verify X.509 certificates,SSL servers,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-7144,"OpenStack keystonemiddleware (formerly python-keystoneclient) 0.x before 0.11.0 and 1.x before 1.2.0 disables certification verification when the ""insecure"" option is set in a paste configuration (paste.ini) file regardless of the value, which allows remote attackers to conduct man-in-the-middle attacks via a crafted certificate.",OpenStack keystonemiddleware |n python-keystoneclient,0.x before 0.11.0 |n 1.x before 1.2.0,,"disables certification verification when the ""insecure"" option is set in a paste configuration (paste.ini) file regardless of the value",,remote attackers,a crafted certificate,conduct man-in-the-middle attacks
CVE-2014-3156,"Buffer overflow in the clipboard implementation in Google Chrome before 35.0.1916.153 allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors that trigger unexpected bitmap data, related to content/renderer/renderer_clipboard_client.cc and content/renderer/webclipboard_impl.cc.",Google Chrome,before 35.0.1916.153,Buffer overflow,,clipboard implementation,remote attackers,"vectors that trigger unexpected bitmap data, related to content/renderer/renderer_clipboard_client.cc and content/renderer/webclipboard_impl.cc",cause a denial of service or possibly have unspecified other impact
CVE-2014-8488,Cross-site scripting (XSS) vulnerability in the administrator panel in Yourls 1.7 allows remote attackers to inject arbitrary web script or HTML via a URL that is processed by the Shorten functionality.,Yourls,1.7,Cross-site scripting (XSS) vulnerability,,administrator panel,remote attackers,a URL that is processed by the Shorten functionality,inject arbitrary web script or HTML 
CVE-2014-2511,Multiple cross-site scripting (XSS) vulnerabilities in EMC Documentum WebTop before 6.7 SP1 P28 and 6.7 SP2 before P14 allow remote attackers to inject arbitrary web script or HTML via the (1) startat or (2) entryId parameter.,EMC Documentum WebTop,before 6.7 SP1 P28 |n 6.7 SP2 before P14,Multiple cross-site scripting (XSS) vulnerabilities,,,remote attackers,the startat or entryId parameter,inject arbitrary web script or HTML
CVE-2014-4782,IBM InfoSphere BigInsights 2.1.2 allows remote authenticated users to discover SMTP server credentials via vectors related to the Alert management service. IBM X-Force ID: 95029.,IBM InfoSphere BigInsights,2.1.2,,,,remote authenticated users,vectors related to the Alert management service,discover SMTP server credentials
CVE-2014-6170,The HTTPInput node in IBM WebSphere Message Broker 7.0 before 7.0.0.8 and 8.0 before 8.0.0.6 and IBM Integration Bus 9.0 before 9.0.0.4 allows remote attackers to obtain sensitive information by triggering a SOAP fault.,"IBM WebSphere Message Broker,IBM Integration Bus",7.0 before 7.0.0.8 |n 8.0 before 8.0.0.6 |n 9.0 before 9.0.0.4 ,,,HTTPInput node,remote attackers,triggering a SOAP fault,obtain sensitive information
CVE-2014-3264,"Cisco Adaptive Security Appliance (ASA) Software 9.1(.5) and earlier allows remote authenticated users to cause a denial of service (device reload) via crafted attributes in a RADIUS packet, aka Bug ID CSCun69561.",Cisco Adaptive Security Appliance (ASA) Software,9.1(.5) and earlier,,,,remote authenticated users,crafted attributes in a RADIUS packet,cause a denial of service (device reload)
CVE-2014-9026,"The Ubercart module 7.x-3.x before 7.x-3.7 for Drupal does not properly protect the per-user order history view, which allows remote authenticated users with the ""view own orders"" permission to obtain sensitive information via unspecified vectors.",Ubercart module |n Drupal,7.x-3.x before 7.x-3.7,,does not properly protect the per-user order history view,,"remote authenticated users with the ""view own orders"" permission",,obtain sensitive information
CVE-2014-6839,"The Alma Corinthiana (aka com.alma.corinthiana) application 1.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Alma Corinthiana |n com.alma.corinthiana |n Android,1,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-2058,BuildTrigger in Jenkins before 1.551 and LTS before 1.532.2 allows remote authenticated users to bypass access restrictions and execute arbitrary jobs by configuring a job to trigger another job. NOTE: this vulnerability exists because of an incomplete fix for CVE-2013-7330.,Jenkins,before 1.551 |n LTS before 1.532.2,,,BuildTrigger,remote authenticated users,configuring a job to trigger another job,bypass access restrictions and execute arbitrary jobs
